"Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,Year-additional"
"2005,23,STL,NL,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,/1H,,-9999"
"2006,24,STL,NL,58,6,2,0,0,0,1,3,0.3,0,3,0.3,.505,.502,0.3,0.0,3,$327000,1,,-9999"
"2007,25,STL,NL,36,74,-2,-1,0,0,10,7,0.6,0,7,0.7,.518,.504,0.7,0.0,7,$410000,1/H,,-9999"
"2008,26,STL,NL,25,65,-2,-1,0,0,7,4,0.4,0,5,0.5,.518,.503,0.5,0.0,5,$687500,1/H,,-9999"
"2009,27,STL,NL,39,96,-8,0,1,0,12,4,0.4,0,4,0.4,.509,.502,0.4,0.0,4,$2787500,1/H,CYA-3MVP-15GG,-9999"
"2010,28,STL,NL,36,96,-8,-1,0,0,12,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,$4837500,1/H,ASCYA-2MVP-17,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,-9999"
"2012,30,STL,NL,32,72,-9,0,0,0,10,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,$9000000,1/H,,-9999"
"2013,31,STL,NL,32,81,-8,0,0,0,10,2,0.2,0,2,0.2,.508,.502,0.3,0.0,2,$12000000,1/H,ASCYA-2MVP-20GG,-9999"
"2014,32,STL,NL,30,82,-8,-1,0,0,11,3,0.3,0,3,0.3,.511,.502,0.3,0.0,3,$19500000,1,ASCYA-3MVP-8,-9999"
"2015,33,STL,NL,7,10,-3,0,0,0,1,-1,-0.1,0,-1,-0.1,.482,.499,-0.1,0.0,-1,$19500000,/1,,-9999"
"2016,34,STL,NL,32,69,-1,0,0,0,10,8,0.8,0,9,0.8,.527,.505,0.9,0.0,8,$19500000,1/H,,-9999"
"2017,35,STL,NL,24,50,-1,0,0,0,7,6,0.6,0,6,0.6,.523,.503,0.6,0.0,6,$19500000,1/H,SS,-9999"
"2018,36,STL,NL,8,12,-2,0,0,0,2,-1,-0.1,0,-1,-0.1,.493,.500,-0.1,0.0,-1,$19500000,/1,,-9999"
"2019,37,STL,NL,29,59,-7,0,0,0,10,3,0.3,0,3,0.3,.510,.502,0.3,0.0,3,$2000000,1,,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,-9999"
"2021,39,STL,NL,33,74,-9,0,0,0,11,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,$8000000,1/H,CYA-7MVP-20,-9999"
"16 Seasons,,,,424,846,-67,-5,0,0,114,43,4.1,2,45,4.3,.510,.502,4.4,0.0,44,$142549500,,,-9999"
"162 Game Avg.,,,,162,323,-26,-2,0,0,44,16,1.6,1,17,1.6,.510,.502,1.7,0.0,17,,,,bat_glossary.shtml#162_avg"
